disciplina_id;gran_area_codigo;gran_area_descripcion;area_codigo;area_descripcion
-1;-1;SIN DATOS;-1;SIN DATOS
1;1;CIENCIAS NATURALES Y EXACTAS;1.0;SIN DATOS
2;1;CIENCIAS NATURALES Y EXACTAS;1.1;Matemáticas
3;1;CIENCIAS NATURALES Y EXACTAS;1.1;Matemáticas
4;1;CIENCIAS NATURALES Y EXACTAS;1.1;Matemáticas
5;1;CIENCIAS NATURALES Y EXACTAS;1.1;Matemáticas
6;1;CIENCIAS NATURALES Y EXACTAS;1.2;Ciencias de la Computación e Información
7;1;CIENCIAS NATURALES Y EXACTAS;1.2;Ciencias de la Computación e Información
8;1;CIENCIAS NATURALES Y EXACTAS;1.2;Ciencias de la Computación e Información
9;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas
10;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas
11;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas
12;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas
13;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas
14;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas
15;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas
16;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas
17;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas
18;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas
19;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas
20;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas
21;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas
22;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas
23;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
24;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
25;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
26;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
27;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
28;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
29;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
30;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
31;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
32;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
33;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
34;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente
35;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
36;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
37;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
38;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
39;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
40;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
41;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
42;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
43;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
44;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
45;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
46;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
47;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
48;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
49;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
50;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
51;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas
